UK,Individual,FAIZ,null,null
UK,Individual,Abdul Baqi,Abdul,null
UK,Individual,MOHAMMAD JAWAD WAZIRI,null,null
UK,Individual,Jallalouddine HAQQANI,Jalaluddin,null
UK,Individual,Jallalouddine HAQQANI,Jallalouddin,null
UK,Individual,Jallalouddine HAQQANI,Jallalouddine,null
UK,Individual,Ibrahim HAQQANI,Ibrahim,null
UK,Individual,DIN MOHAMMAD HANIF,null,null
UK,Individual,HAMDULLAH NOMANI,null,null
UK,Individual,SAHIB,SAHIB,null
UK,Individual,Hottak SAHIB,Hottak,null
UK,Individual,Abdul HAQ,Abdul,null
UK,Individual,MOHAMMAD YAQOUB,null,null
UK,Individual,ABDUL RAZAQ AKHUND LALA AKHUND,null,null
UK,Individual,SAYED MOHAMMAD AZIM AGHA,null,null
UK,Individual,Noor ud Din TURABI,KARIM,null
UK,Individual,Noor ud Din TURABI,Noor,null
UK,Individual,MOHAMMAD ESSA AKHUND,null,null
UK,Individual,Muhammad AZAMI,Muhammad,null
UK,Individual,Ezatullah Haqqani,Ezatullah,null
UK,Individual,MOHAMMAD ABBAS AKHUND,null,null
UK,Individual,SHER MOHAMMAD ABBAS STANEKZAI PADSHAH KHAN,null,null
UK,Individual,NANAI,NANAI,null
UK,Individual,Hanafi SAHIB,Rostam,null
UK,Individual,Hanafi SAHIB,Hanafi,null
UK,Individual,ATIQULLAH,ATIQULLAH,null
UK,Individual,Najibullah HAQANI,Najibullah,null
UK,Individual,Sayed Ghiasuddin SAYED GHOUSUDDIN,SAYYED,null
UK,Individual,Sayed Ghiasuddin SAYED GHOUSUDDIN,SAYED,null
UK,Individual,Sayed Ghiasuddin SAYED GHOUSUDDIN,Sayed,null
UK,Individual,Moslim Haqqani,Moslim,null
UK,Individual,ABDUL RAQIB TAKHARI,null,null
UK,Individual,MOHAMMAD WALI,MOHAMMAD WALI,null
UK,Individual,MOHAMMAD SALIM HAQQANI,null,null
UK,Individual,Sayed Esmatullah Asem,Asmatullah,null
UK,Individual,Sayed Esmatullah Asem,Esmatullah,null
UK,Individual,Sayed Esmatullah Asem,Sayed,null
UK,Individual,Abdul-Haq WASSEQ,Abdul,null
UK,Individual,Abdul-Haq WASSEQ,Abdul-Haq,null
UK,Individual,Ehsanullah SARFIDA,Ehsanullah,null
UK,Individual,Ehsanullah SARFIDA,Ehsanullah,null
UK,Individual,HABIBULLAH RESHAD,null,null
UK,Individual,Haji Ahmed JAN,Ahmed,null
UK,Individual,Haji Ahmed JAN,Haji,null
UK,Individual,Sadudin Sayed,Sadruddin,null
UK,Individual,Sadudin Sayed,Sadudin,null
UK,Individual,Mauwin JABBAR,JABBAR,null
UK,Individual,Mauwin JABBAR,Mauwin,null
UK,Individual,Norullah Noori,Norullah,null
UK,Individual,Abdullah Jan AGHA,Abdullah,null
UK,Individual,Doost Mohammad,Doost Mohammad,null
UK,Individual,Khairullah Khairkhwah,Khirullah,null
UK,Individual,Khairullah Khairkhwah,Khairullah,null
UK,Individual,ZAKIR,Haji,null
UK,Individual,ZAKIR,ZAKIR,null
UK,Individual,WALIJAN,null,null
UK,Individual,Gud Mullah Mohammad Hassan,Gud,null
UK,Individual,Abdul Manan Niazi,Baryalai,null
UK,Individual,Abdul Manan Niazi,Baryaly,null
UK,Individual,Abdul Manan Niazi,Abdul,null
UK,Individual,Abdul Manan Niazi,Abdul,null
UK,Individual,ABDUL WAHED SHAFIQ,null,null
UK,Individual,MOHAMMAD SHAFIQ MOHAMMADI,null,null
UK,Individual,Nazar MOHAMMAD,Nazar,null
UK,Individual,Mohammad Ishaq AKHUND,Mohammad,null
UK,Individual,Madani SAHEB,Ziaurrahman,null
UK,Individual,Madani SAHEB,Diya',null
UK,Individual,Madani SAHEB,Zaia,null
UK,Individual,Madani SAHEB,Madani,null
UK,Individual,Pahlawan Shamsuddin,Pahlawan,null
UK,Individual,GURG,GURG,null
UK,Individual,Ahmad Taha Khalid ABDUL QADIR,null,null
UK,Individual,SHAFIQULLAH,Mohammad,null
UK,Individual,SHAFIQULLAH,SHAFIQULLAH,null
UK,Individual,Muhammad YUSUF,Aminullah,null
UK,Individual,Muhammad YUSUF,Muhammad,null
UK,Individual,ABDULHAI SALEK,null,null
UK,Individual,Ahmad Jan Akhund ZADA,Ahmad Jan,null
UK,Individual,Ahmad Jan Akhund ZADA,Ahmad Jan,null
UK,Individual,NOOR MOHAMMAD SAQIB,null,null
UK,Individual,SANANI,SANANI,null
UK,Individual,SHAHABUDDIN DELAWAR,null,null
UK,Individual,ABDUL RAHMAN AGHA,null,null
UK,Individual,Janat Gul,Hamidullah,null
UK,Individual,Janat Gul,Janat,null
UK,Individual,JAN MOHAMMAD MADANI IKRAM,null,null
UK,Individual,Azizirahman ABDUL AHAD,null,null
UK,Individual,Abdul Manan MOHAMMAD ISHAK,null,null
UK,Individual,Mohammad Sarwar Siddiqmal,Mohammad,null
UK,Individual,MOHAMMAD ZAHID,null,null
UK,Individual,Abdul Qadir,Abdul,null
UK,Individual,Abdul Qadir,Ahmad,null
UK,Individual,Abdul Qadir,Abdul,null
UK,Individual,Abdul Qadir,Abdul,null
UK,Individual,Nazirullah Aanafi WALIULLAH,Nazirullah,null
UK,Individual,Abdul Ghaffar QURESHI,Abdul,null
UK,Individual,Najib Ullah,Najib,null
UK,Individual,ABDUL WALI SEDDIQI,null,null
UK,Individual,Akhtar Mohammad MAZ-HARI,Akhtar,null
UK,Individual,Mohammad Sadiq AMIR MOHAMMAD,null,null
UK,Individual,REHMATULLAH,KAKAZADA,null
UK,Individual,REHMATULLAH,NASIR,null
UK,Individual,REHMATULLAH,REHMATULLAH,null
UK,Individual,MOHAMMAD ALEEM NOORANI,null,null
UK,Individual,ABDUL GHAFAR SHINWARI,null,null
UK,Individual,GUL AHMAD HAKIMI,null,null
UK,Individual,al-Hammad,al-Hammad,null
UK,Individual,Abdul Hai HAZEM,Abdul,null
UK,Individual,Hamdullah ALLAH NOOR,null,null
UK,Individual,Khalifa,Saraj,null
UK,Individual,Khalifa,Serajuddin,null
UK,Individual,Khalifa,Siraj,null
UK,Individual,Khalifa,Siraj,null
UK,Individual,Khalifa,Khalifa,null
UK,Individual,Amir Abdullah SAHIB,Amir,null
UK,Individual,NASERUDDIN,Alim,null
UK,Individual,NASERUDDIN,Maseer,null
UK,Individual,NASERUDDIN,Nashir,null
UK,Individual,NASERUDDIN,Nassir,null
UK,Individual,NASERUDDIN,NASERUDDIN,null
UK,Individual,HIDAYATULLAH,Gul,null
UK,Individual,HIDAYATULLAH,Gul,null
UK,Individual,HIDAYATULLAH,HAYADATULLAH,null
UK,Individual,HIDAYATULLAH,HIDAYATULLAH,null
UK,Individual,Loi Lala,Loi,null
UK,Individual,Loi Lala,Agha,null
UK,Individual,Loi Lala,Agha,null
UK,Individual,Loi Lala,Abdul,null
UK,Individual,Loi Lala,Agha,null
UK,Individual,Loi Lala,Loi,null
UK,Individual,Saleh MOHAMMAD,Saleh,null
UK,Individual,Khalil ur Rahman Haqqani,Khaleel,null
UK,Individual,Khalil ur Rahman Haqqani,Khalil,null
UK,Individual,Khalil ur Rahman Haqqani,Khalil,null
UK,Individual,Faizuulah Khan Norezai,Mullah,null
UK,Individual,Faizuulah Khan Norezai,Fiazullah,null
UK,Individual,Faizuulah Khan Norezai,Faizullah,null
UK,Individual,Faizuulah Khan Norezai,Faizullah,null
UK,Individual,Faizuulah Khan Norezai,Faizullah,null
UK,Individual,Faizuulah Khan Norezai,Faizullah,null
UK,Individual,Faizuulah Khan Norezai,Faizullah,null
UK,Individual,Faizuulah Khan Norezai,Pazullah,null
UK,Individual,Faizuulah Khan Norezai,Faizuulah,null
UK,Individual,Malik Noorzai,Aminullah,null
UK,Individual,Malik Noorzai,Maluk,null
UK,Individual,Malik Noorzai,Allah,null
UK,Individual,Malik Noorzai,Malak,null
UK,Individual,Malik Noorzai,Malek,null
UK,Individual,Malik Noorzai,Malik,null
UK,Individual,Abdul Aziz Mahsud,Abdul,null
UK,Individual,Agha Sia SAYEED,Zia,null
UK,Individual,Agha Sia SAYEED,Noor,null
UK,Individual,Agha Sia SAYEED,Noor,null
UK,Individual,Agha Sia SAYEED,Agha,null
UK,Individual,Fazal RABI,Faisal,null
UK,Individual,Fazal RABI,Fazl,null
UK,Individual,Fazal RABI,Fazal,null
UK,Individual,SANAULLAH,Mohammed,null
UK,Individual,SANAULLAH,Mad,null
